,CH4,CO2,N2O,Time,Date
1,83368     ,3311      ,59488     ,11:44:50AM     ,9/13/2025      
2,164904    ,4191      ,60747     ,11:58:10AM     ,9/13/2025      
3,156179    ,4501      ,60672     ,12:11:30PM     ,9/13/2025      
4,435218    ,5736      ,62495     ,12:24:51PM     ,9/13/2025      
5,11600     ,2960      ,66924     ,12:38:13PM     ,9/13/2025      
6,28509     ,3626      ,61913     ,12:51:31PM     ,9/13/2025      
7,36075     ,4181      ,62284     ,1:04:53PM      ,9/13/2025      
8,41286     ,4601      ,63324     ,1:18:12PM      ,9/13/2025      
9,16536     ,3186      ,63945     ,1:31:34PM      ,9/13/2025      
10,12376     ,3040      ,65750     ,1:44:53PM      ,9/13/2025      
11,53805     ,4253      ,63686     ,1:58:15PM      ,9/13/2025      
12,64614     ,4919      ,65110     ,2:11:34PM      ,9/13/2025      
13,0         ,0         ,1087314   ,2:24:56PM      ,9/13/2025      
14,13283     ,1823      ,63600     ,2:38:15PM      ,9/13/2025      
15,28581     ,3787      ,63373     ,2:51:37PM      ,9/13/2025      
16,36026     ,4120      ,64297     ,3:04:56PM      ,9/13/2025      
17,41651     ,4512      ,65120     ,3:18:18PM      ,9/13/2025      
18,13427     ,3132      ,63413     ,3:31:37PM      ,9/13/2025      
19,51373     ,3660      ,62612     ,3:44:59PM      ,9/13/2025      
20,67193     ,4216      ,63505     ,3:58:19PM      ,9/13/2025      
21,79724     ,5186      ,63566     ,4:11:40PM      ,9/13/2025      
22,14325     ,3423      ,63860     ,4:24:59PM      ,9/13/2025      
23,36753     ,3931      ,64805     ,4:38:21PM      ,9/13/2025      
24,122257    ,4542      ,63012     ,4:51:41PM      ,9/13/2025      
25,344726    ,5767      ,66094     ,5:05:00PM      ,9/13/2025      
26,11438     ,2778      ,65497     ,5:18:20PM      ,9/13/2025      
27,12788     ,3302      ,64670     ,5:31:42PM      ,9/13/2025      
28,25537     ,3592      ,63588     ,5:45:02PM      ,9/13/2025      
29,34693     ,4338      ,60251     ,5:58:23PM      ,9/13/2025      
30,44513     ,5035      ,62969     ,6:11:43PM      ,9/13/2025      
31,13193     ,3225      ,64723     ,6:25:04PM      ,9/13/2025      
32,26247     ,3803      ,63224     ,6:38:23PM      ,9/13/2025      
33,36122     ,4372      ,64261     ,6:51:44PM      ,9/13/2025      
34,43406     ,3331      ,67825     ,7:05:04PM      ,9/13/2025      
35,12959     ,1864      ,69148     ,7:18:24PM      ,9/13/2025      
36,13108     ,1889      ,68554     ,7:31:45PM      ,9/13/2025      
37,29000     ,2746      ,65018     ,7:45:05PM      ,9/13/2025      
38,43447     ,3302      ,65165     ,7:58:26PM      ,9/13/2025      
39,2757802   ,0         ,166021    ,8:11:46PM      ,9/13/2025      
40,13635     ,3261      ,63522     ,8:25:07PM      ,9/13/2025      
41,21438     ,3311      ,64097     ,8:38:27PM      ,9/13/2025      
42,27613     ,4241      ,63706     ,8:51:47PM      ,9/13/2025      
43,33616     ,3314      ,65091     ,9:05:09PM      ,9/13/2025      
44,14607     ,1963      ,65937     ,9:18:28PM      ,9/13/2025      
45,21180     ,2312      ,64468     ,9:31:48PM      ,9/13/2025      
46,23282     ,3927      ,69470     ,9:45:10PM      ,9/13/2025      
47,34435     ,3048      ,64181     ,9:58:29PM      ,9/13/2025      
48,15440     ,1944      ,64011     ,10:11:51PM     ,9/13/2025      
49,25320     ,2474      ,64107     ,10:25:10PM     ,9/13/2025      
50,32224     ,4559      ,63603     ,10:38:30PM     ,9/13/2025      
51,40292     ,5055      ,63969     ,10:51:52PM     ,9/13/2025      
52,49999     ,778       ,10057     ,11:05:12PM     ,9/13/2025      
53,13834     ,1940      ,66667     ,11:18:31PM     ,9/13/2025      
54,24323     ,2851      ,65271     ,11:31:52PM     ,9/13/2025      
55,36817     ,3841      ,67489     ,11:45:13PM     ,9/13/2025      
56,50486     ,4929      ,67419     ,11:58:34PM     ,9/13/2025      
57,12624     ,1739      ,65973     ,12:11:53AM     ,9/14/2025      
58,25487     ,2775      ,66930     ,12:25:15AM     ,9/14/2025      
59,42098     ,5445      ,68630     ,12:38:34AM     ,9/14/2025      
60,57359     ,5113      ,69208     ,12:51:56AM     ,9/14/2025      
61,12116     ,3007      ,65882     ,1:05:15AM      ,9/14/2025      
62,25265     ,2619      ,66620     ,1:18:37AM      ,9/14/2025      
63,39658     ,3676      ,66289     ,1:31:56AM      ,9/14/2025      
64,52371     ,4770      ,67474     ,1:45:18AM      ,9/14/2025      
65,0         ,0         ,1053607   ,1:58:37AM      ,9/14/2025      
66,12315     ,1736      ,65259     ,2:11:59AM      ,9/14/2025      
67,23637     ,3554      ,66869     ,2:25:18AM      ,9/14/2025      
68,39969     ,4728      ,67219     ,2:38:38AM      ,9/14/2025      
69,51630     ,5197      ,67623     ,2:52:00AM      ,9/14/2025      
70,12691     ,1702      ,64285     ,3:05:19AM      ,9/14/2025      
71,25603     ,2456      ,65747     ,3:18:41AM      ,9/14/2025      
72,35890     ,3207      ,67982     ,3:32:00AM      ,9/14/2025      
73,49244     ,4917      ,66261     ,3:45:22AM      ,9/14/2025      
74,12695     ,1851      ,65548     ,3:58:44AM      ,9/14/2025      
75,25216     ,3415      ,65479     ,4:12:04AM      ,9/14/2025      
76,36603     ,5251      ,66356     ,4:25:25AM      ,9/14/2025      
77,43288     ,5968      ,67409     ,4:38:45AM      ,9/14/2025      
78,11151     ,3283      ,74950     ,4:52:07AM      ,9/14/2025      
79,12390     ,1790      ,65672     ,5:05:27AM      ,9/14/2025      
80,24748     ,4183      ,65531     ,5:18:48AM      ,9/14/2025      
81,38907     ,4772      ,65105     ,5:32:07AM      ,9/14/2025      
82,54836     ,6000      ,67105     ,5:45:29AM      ,9/14/2025      
83,12662     ,3010      ,65386     ,5:58:48AM      ,9/14/2025      
84,28863     ,2613      ,65267     ,6:12:10AM      ,9/14/2025      
85,49593     ,4630      ,66492     ,6:25:32AM      ,9/14/2025      
86,67334     ,5482      ,65824     ,6:38:51AM      ,9/14/2025      
87,13812     ,3048      ,65095     ,6:52:11AM      ,9/14/2025      
88,23987     ,3793      ,66911     ,7:05:32AM      ,9/14/2025      
89,36904     ,4084      ,66621     ,7:18:52AM      ,9/14/2025      
90,49125     ,4885      ,67449     ,7:32:14AM      ,9/14/2025      
91,2742653   ,0         ,162891    ,7:45:34AM      ,9/14/2025      
92,12239     ,3038      ,65832     ,7:58:54AM      ,9/14/2025      
93,16643     ,3579      ,65107     ,8:12:15AM      ,9/14/2025      
94,24235     ,4421      ,65338     ,8:25:35AM      ,9/14/2025      
95,31473     ,5037      ,66009     ,8:38:55AM      ,9/14/2025      
