Std_CH4_Peak,Std_CH4_PPM,Std_CO2_Peak,Std_CO2_PPM,Std_N2O_Peak,Std_N2O_PPM,Std_Gas1_Peak,Std_Gas1_PPM,Std_Gas2_Peak,Std_Gas2_PPM,Std_Gas3_Peak,Std_Gas3_PPM,GC_Run 
2646530,503,,,142068,1,,,,,,,Batch_13_14_2025
2737505,503,,,146247,1,,,,,,,Batch_13_14_2025
2658834,503,,,154733,1,,,,,,,Batch_13_14_2025
2724640,503,,,160890,1,,,,,,,Batch_13_14_2025
2757802,503,,,166021,1,,,,,,,Batch_13_14_2025
2742653,503,,,162891,1,,,,,,,Batch_13_14_2025
53744,10.18,,,0,0,,,,,,,Batch_13_14_2025
55048,10.18,,,0,0,,,,,,,Batch_13_14_2025
0,0,,,956337,9.95,,,,,,,Batch_13_14_2025
0,0,,,959339,9.95,,,,,,,Batch_13_14_2025
0,0,,,1024510,9.95,,,,,,,Batch_13_14_2025
0,0,,,1087314,9.95,,,,,,,Batch_13_14_2025
0,0,,,1053607,9.95,,,,,,,Batch_13_14_2025
0,0,,,1055638,9.95,,,,,,,Batch_13_14_2025
10142,1.768,,,57283,0.299,,,,,,,Batch_13_14_2025
11107,1.768,,,68637,0.299,,,,,,,Batch_13_14_2025
9988,1.768,,,63864,0.299,,,,,,,Batch_13_14_2025
11438,1.768,,,65497,0.299,,,,,,,Batch_13_14_2025
11151,1.768,,,74950,0.299,,,,,,,Batch_13_14_2025
10159,1.768,,,66228,0.299,,,,,,,Batch_13_14_2025
