Type,Anal.,Sample Name,Sample ID,Result(TOC),Result(TC),Result(IC),Result(POC),Result(NPOC),Result(TN),Unit,Vial,Date / Time,
Unknown,TOC,Flush 1,Untitled,0.000,0.000,0.000,,,,mg/L,1,8/29/2025 1:42:43 PM,
Standard,TC,TC Cal,Untitled,,100.0,,,,,mg/L,2, 2, 2, 2,8/29/2025 2:24:51 PM,
Standard,IC,IC Cal,Untitled,,,100.0,,,,mg/L,3, 3, 3, 3,8/29/2025 3:03:39 PM,
Unknown,TOC,Flush 2,Untitled,0.00281,0.1915,0.1887,,,,mg/L,1,8/29/2025 3:20:54 PM,
Unknown,TOC,082925_B177,,43.54,101.9,58.36,,,,mg/L,4,8/29/2025 3:35:44 PM,
Unknown,TOC,082925_B178,,30.91,77.03,46.12,,,,mg/L,5,8/29/2025 3:50:14 PM,
Unknown,TOC,082925_B179,,40.03,99.92,59.89,,,,mg/L,6,8/29/2025 4:04:56 PM,
Unknown,TOC,082925_B180,,20.73,55.48,34.75,,,,mg/L,7,8/29/2025 4:19:18 PM,
Unknown,TOC,082925_B181,,49.91,98.30,48.38,,,,mg/L,8,8/29/2025 4:34:01 PM,
Unknown,TOC,082925_B182,,15.55,53.71,38.16,,,,mg/L,9,8/29/2025 4:48:32 PM,
Unknown,TOC,082925_B183,,24.94,65.42,40.49,,,,mg/L,10,8/29/2025 5:03:03 PM,
Unknown,TOC,082925_B184,,21.61,54.69,33.08,,,,mg/L,11,8/29/2025 5:17:19 PM,
Unknown,TOC,082925_B185,,18.31,46.12,27.81,,,,mg/L,12,8/29/2025 5:31:32 PM,
Unknown,TOC,082925_B186,,14.17,44.80,30.63,,,,mg/L,13,8/29/2025 5:45:49 PM,
Unknown,TOC,082925_B187,,35.41,99.54,64.13,,,,mg/L,14,8/29/2025 6:00:30 PM,
Unknown,TOC,082925_B188,,28.59,78.54,49.95,,,,mg/L,15,8/29/2025 6:14:57 PM,
Unknown,TOC,082925_B189,,15.01,34.66,19.65,,,,mg/L,16,8/29/2025 6:29:18 PM,
Unknown,TOC,082925_B190,,26.69,63.41,36.72,,,,mg/L,17,8/29/2025 6:43:42 PM,
Unknown,TOC,082925_B191,,42.23,103.1,60.82,,,,mg/L,18,8/29/2025 6:58:34 PM,
Unknown,TOC,082925_B192,,7.448,26.96,19.51,,,,mg/L,19,8/29/2025 7:12:40 PM,
Unknown,TOC,082925_B193,,12.00,35.54,23.54,,,,mg/L,20,8/29/2025 7:26:46 PM,
Unknown,TOC,082925_B241,,36.36,89.65,53.30,,,,mg/L,21,8/29/2025 7:41:21 PM,
Unknown,TOC,082925_B242,,37.31,80.51,43.20,,,,mg/L,22,8/29/2025 7:55:51 PM,
Unknown,TOC,082925_B243,,57.02,122.7,65.69,,,,mg/L,23,8/29/2025 8:10:53 PM,
Unknown,TOC,082925_B244,,21.21,66.19,44.98,,,,mg/L,24,8/29/2025 8:25:20 PM,
Unknown,TOC,082925_B245,,40.60,88.51,47.90,,,,mg/L,25,8/29/2025 8:40:08 PM,
Unknown,TOC,082925_B246,,14.17,53.76,39.59,,,,mg/L,26,8/29/2025 8:54:34 PM,
Unknown,TOC,082925_B247,,21.56,58.96,37.39,,,,mg/L,27,8/29/2025 9:09:05 PM,
Unknown,TOC,082925_B248,,24.61,60.71,36.10,,,,mg/L,28,8/29/2025 9:23:25 PM,
Unknown,TOC,082925_B249,,20.78,49.64,28.86,,,,mg/L,29,8/29/2025 9:37:45 PM,
Unknown,TOC,082925_B250,,13.08,40.13,27.05,,,,mg/L,30,8/29/2025 9:52:00 PM,
Unknown,TOC,082925_B251,,38.05,101.2,63.19,,,,mg/L,31,8/29/2025 10:06:49 PM,
Unknown,TOC,082925_B252,,33.56,81.74,48.18,,,,mg/L,32,8/29/2025 10:21:29 PM,
Unknown,TOC,082925_B253,,16.12,40.50,24.38,,,,mg/L,33,8/29/2025 10:36:02 PM,
Unknown,TOC,082925_B254,,22.96,52.80,29.84,,,,mg/L,34,8/29/2025 10:50:20 PM,
Unknown,TOC,082925_B255,,46.80,104.3,57.46,,,,mg/L,35,8/29/2025 11:05:10 PM,
Unknown,TOC,082925_B256,,2.480,22.11,19.63,,,,mg/L,36,8/29/2025 11:19:24 PM,
Unknown,TOC,082925_B257,,2.487,24.67,22.19,,,,mg/L,37,8/29/2025 11:33:31 PM,
