[Header]	
System	TOCV-TNM	
S/W Version	1.00	
Date/Time	9/4/2025 2:44:16 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Result(TOC)	Result(TC)	Result(IC)	Result(POC)	Result(NPOC)	Result(TN)	Unit	Vial	Date / Time	
Unknown	TOC	Flush	Untitled	0.000	0.000	0.000				mg/L	1	9/3/2025 2:18:13 PM	
Standard	IC	Untitled	Untitled			100.0				mg/L	2, 2, 2, 2	9/3/2025 3:02:18 PM	
Standard	TC	Untitled	Untitled		100.0					mg/L	3, 3, 3, 3	9/3/2025 3:44:58 PM	
Unknown	TOC	Flush	Untitled	0.1437	0.1876	0.04388				mg/L	1	9/3/2025 3:59:24 PM	
Unknown	TOC	090325_1		2.524	17.99	15.47				mg/L	4	9/3/2025 4:13:27 PM	
Unknown	TOC	090325_2		11.09	24.93	13.84				mg/L	5	9/3/2025 4:27:34 PM	
Unknown	TOC	090325_3		10.45	27.39	16.94				mg/L	6	9/3/2025 4:41:37 PM	
Unknown	TOC	090325_4		9.674	25.80	16.12				mg/L	7	9/3/2025 4:55:42 PM	
Unknown	TOC	090325_5		36.79	78.32	41.53				mg/L	8	9/3/2025 5:10:08 PM	
Unknown	TOC	090325_6		55.06	98.84	43.78				mg/L	9	9/3/2025 5:24:53 PM	
Unknown	TOC	090325_7		81.13	147.4	66.22				mg/L	10	9/3/2025 5:40:19 PM	
Unknown	TOC	090325_8		31.32	67.58	36.26				mg/L	11	9/3/2025 5:54:47 PM	
Unknown	TOC	090325_9		50.50	92.85	42.35				mg/L	12	9/3/2025 6:09:21 PM	
Unknown	TOC	090325_10		14.29	48.74	34.45				mg/L	13	9/3/2025 6:26:07 PM	
Unknown	TOC	090325_11		22.84	56.50	33.66				mg/L	14	9/3/2025 6:40:23 PM	
Unknown	TOC	090325_12		28.34	60.23	31.90				mg/L	15	9/3/2025 6:54:50 PM	
Unknown	TOC	090325_13		22.86	51.41	28.55				mg/L	16	9/3/2025 7:09:02 PM	
Unknown	TOC	090325_14		14.10	39.99	25.89				mg/L	17	9/3/2025 7:23:13 PM	
Unknown	TOC	090325_15		34.92	84.47	49.55				mg/L	18	9/3/2025 7:37:52 PM	
Unknown	TOC	090325_16		41.52	80.85	39.33				mg/L	19	9/3/2025 7:52:17 PM	
Unknown	TOC	090325_17		19.74	47.88	28.14				mg/L	20	9/3/2025 8:06:33 PM	
Unknown	TOC	090325_18		23.47	49.06	25.58				mg/L	21	9/3/2025 8:20:35 PM	
Unknown	TOC	090325_19		43.15	86.97	43.83				mg/L	22	9/3/2025 8:35:08 PM	
Unknown	TOC	090325_20		1.749	14.93	13.18				mg/L	23	9/3/2025 8:48:48 PM	
Unknown	TOC	090325_21		3.303	25.08	21.77				mg/L	24	9/3/2025 9:02:53 PM	
Unknown	TOC	090325_22		36.34	96.04	59.70				mg/L	25	9/3/2025 9:17:41 PM	
Unknown	TOC	090325_23		64.20	133.1	68.93				mg/L	26	9/3/2025 9:32:39 PM	
Unknown	TOC	090325_24		82.88	155.0	72.16				mg/L	27	9/3/2025 9:47:57 PM	
Unknown	TOC	090325_25		13.11	28.14	15.03				mg/L	28	9/3/2025 10:02:05 PM	
Unknown	TOC	090325_26		53.10	121.2	68.05				mg/L	29	9/3/2025 10:17:04 PM	
Unknown	TOC	090325_27		13.52	58.06	44.54				mg/L	30	9/3/2025 10:31:26 PM	
Unknown	TOC	090325_28		30.01	92.13	62.12				mg/L	31	9/3/2025 10:46:02 PM	
Unknown	TOC	090325_29		38.74	100.2	61.45				mg/L	32	9/3/2025 11:00:55 PM	
Unknown	TOC	090325_30		27.78	69.85	42.07				mg/L	33	9/3/2025 11:15:30 PM	
Unknown	TOC	090325_31		14.72	48.42	33.70				mg/L	34	9/3/2025 11:29:51 PM	
Unknown	TOC	090325_32		33.76	106.8	73.03				mg/L	35	9/3/2025 11:44:38 PM	
Unknown	TOC	090325_33		41.98	98.55	56.57				mg/L	36	9/3/2025 11:59:20 PM	
Unknown	TOC	090325_34		23.53	67.83	44.30				mg/L	37	9/4/2025 12:13:49 AM	
