[Header]	
System	TOCV-TNM	
S/W Version	1.00	
Date/Time	10/6/2025 9:21:07 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Result(TOC)	Result(TC)	Result(IC)	Result(POC)	Result(NPOC)	Result(TN)	Unit	Vial	Date / Time	
Unknown	TOC	Flush	Untitled	0.000	0.000	0.000				mg/L	1	10/2/2025 4:07:40 PM	
Standard	IC	Untitled	Untitled			100.0				mg/L	2, 2, 2, 2, 3, 3	10/2/2025 5:12:57 PM	
Standard	TC	Untitled	Untitled		100.0					mg/L	3, 3, 4, 4, 4, 4	10/2/2025 6:16:45 PM	
Unknown	TOC	10022025_ZZLB50		15.80	32.71	16.91				mg/L	5	10/2/2025 6:32:58 PM	
Unknown	TOC	10022025_ZZLB51		10.95	26.58	15.64				mg/L	6	10/2/2025 6:47:09 PM	
Unknown	TOC	10022025_ZZLB52		9.032	20.71	11.68				mg/L	7	10/2/2025 7:00:59 PM	
Unknown	TOC	10022025_ZZLB53		0.9373	1.013	0.07532				mg/L	8	10/2/2025 7:16:32 PM	
Unknown	TOC	10022025_ZZLB54		15.95	38.93	22.98				mg/L	9	10/2/2025 7:30:52 PM	
Unknown	TOC	10022025_ZZLB55		14.32	35.38	21.06				mg/L	10	10/2/2025 7:45:04 PM	
Unknown	TOC	10022025_ZZLB56		13.77	32.68	18.92				mg/L	11	10/2/2025 7:59:06 PM	
Unknown	TOC	10022025_ZZLB57		14.15	42.07	27.92				mg/L	12	10/2/2025 8:13:25 PM	
Unknown	TOC	10022025_ZZLB58		13.46	34.12	20.66				mg/L	13	10/2/2025 8:27:36 PM	
Unknown	TOC	10022025_ZZLB59		11.49	29.17	17.67				mg/L	14	10/2/2025 8:41:51 PM	
Unknown	TOC	10022025_ZZLB60		11.03	28.82	17.78				mg/L	15	10/2/2025 8:55:58 PM	
Unknown	TOC	10022025_ZZLB61		15.23	37.17	21.95				mg/L	16	10/2/2025 9:10:11 PM	
Unknown	TOC	10022025_ZZLB62		12.63	26.70	14.07				mg/L	17	10/2/2025 9:24:22 PM	
Unknown	TOC	10022025_ZZLB63		12.26	28.19	15.93				mg/L	18	10/2/2025 9:38:25 PM	
Unknown	TOC	10022025_ZZLB64		-0.00496	0.1032	0.1081				mg/L	19	10/2/2025 9:56:14 PM	
Unknown	TOC	10022025_ZZLB65		19.60	35.35	15.75				mg/L	20	10/2/2025 10:10:16 PM	
Unknown	TOC	10022025_ZZLB209		25.20	57.44	32.24				mg/L	21	10/2/2025 10:24:37 PM	
Unknown	TOC	10022025_ZZLB210		23.21	51.99	28.77				mg/L	22	10/2/2025 10:38:51 PM	
Unknown	TOC	10022025_ZZLB211		33.04	73.54	40.50				mg/L	23	10/2/2025 10:53:23 PM	
Unknown	TOC	10022025_ZZLB212		10.58	28.54	17.96				mg/L	24	10/2/2025 11:07:29 PM	
Unknown	TOC	10022025_ZZLB213		20.07	35.45	15.38				mg/L	25	10/2/2025 11:21:31 PM	
Unknown	TOC	10022025_ZZLB214		6.669	20.46	13.79				mg/L	26	10/2/2025 11:35:30 PM	
Unknown	TOC	10022025_ZZLB215		9.493	23.28	13.79				mg/L	27	10/2/2025 11:49:26 PM	
Unknown	TOC	10022025_ZZLB216		23.10	51.84	28.74				mg/L	28	10/3/2025 12:03:46 AM	
Unknown	TOC	10022025_ZZLB217		10.01	22.65	12.63				mg/L	29	10/3/2025 12:17:32 AM	
Unknown	TOC	10022025_ZZLB218		10.74	31.33	20.59				mg/L	30	10/3/2025 12:31:26 AM	
Unknown	TOC	10022025_ZZLB219		9.879	23.99	14.11				mg/L	31	10/3/2025 12:45:31 AM	
Unknown	TOC	10022025_ZZLB220		12.70	30.64	17.94				mg/L	32	10/3/2025 12:59:35 AM	
Unknown	TOC	10022025_ZZLB221		7.846	16.34	8.495				mg/L	33	10/3/2025 1:13:24 AM	
Unknown	TOC	10022025_ZZLB222		13.77	27.03	13.26				mg/L	34	10/3/2025 1:27:25 AM	
Unknown	TOC	10022025_ZZLB223		16.89	37.40	20.51				mg/L	35	10/3/2025 1:41:37 AM	
Unknown	TOC	10022025_ZZLB224		1.366	11.43	10.06				mg/L	36	10/3/2025 1:58:31 AM	
Unknown	TOC	10022025_ZZLB225		2.192	11.94	9.749				mg/L	37	10/3/2025 2:12:22 AM	
Unknown	TOC	10022025_ZZLB401		48.26	110.7	62.46				mg/L	38	10/3/2025 2:27:16 AM	
Unknown	TOC	10022025_ZZLB402		100.4	168.1	67.70				mg/L	39	10/3/2025 2:42:29 AM	
Unknown	TOC	10022025_ZZLB403		146.5	259.6	113.0				mg/L	40	10/3/2025 2:58:21 AM	
Unknown	TOC	10022025_ZZLB404		45.79	90.75	44.96				mg/L	41	10/3/2025 3:12:58 AM	
Unknown	TOC	10022025_ZZLB405		76.14	163.2	87.05				mg/L	42	10/3/2025 3:28:33 AM	
Unknown	TOC	10022025_ZZLB406		20.08	95.87	75.79				mg/L	43	10/3/2025 3:43:17 AM	
Unknown	TOC	10022025_ZZLB407		37.65	110.0	72.38				mg/L	44	10/3/2025 3:58:06 AM	
Unknown	TOC	10022025_ZZLB408		64.33	148.7	84.34				mg/L	45	10/3/2025 4:13:13 AM	
Unknown	TOC	10022025_ZZLB409		49.46	108.6	59.11				mg/L	46	10/3/2025 4:28:10 AM	
Unknown	TOC	10022025_ZZLB410		21.99	81.03	59.04				mg/L	47	10/3/2025 4:43:17 AM	
Unknown	TOC	10022025_ZZLB411		44.79	125.8	80.97				mg/L	48	10/3/2025 4:58:14 AM	
Unknown	TOC	10022025_ZZLB412		84.65	171.8	87.17				mg/L	49	10/3/2025 5:13:34 AM	
Unknown	TOC	10022025_ZZLB413		25.67	81.83	56.15				mg/L	50	10/3/2025 5:28:13 AM	
Unknown	TOC	10022025_ZZLB414		37.66	78.95	41.28				mg/L	51	10/3/2025 5:42:51 AM	
Unknown	TOC	10022025_ZZLB415		79.45	158.2	78.78				mg/L	52	10/3/2025 5:57:55 AM	
Unknown	TOC	10022025_ZZLB416		1.093	29.14	28.04				mg/L	53	10/3/2025 6:12:08 AM	
Unknown	TOC	10022025_ZZLB417		2.230	24.69	22.46				mg/L	54	10/3/2025 6:26:15 AM	
Unknown	TOC	10022025_ZZLB433		48.27	94.70	46.43				mg/L	55	10/3/2025 6:41:03 AM	
Unknown	TOC	10022025_ZZLB434		109.3	165.5	56.23				mg/L	56	10/3/2025 6:56:12 AM	
Unknown	TOC	10022025_ZZLB435		145.4	244.0	98.62				mg/L	57	10/3/2025 7:11:49 AM	
Unknown	TOC	10022025_ZZLB436		44.27	77.70	33.43				mg/L	58	10/3/2025 7:26:18 AM	
Unknown	TOC	10022025_ZZLB437		81.46	165.7	84.22				mg/L	59	10/3/2025 7:41:20 AM	
Unknown	TOC	10022025_ZZLB438		20.33	85.23	64.90				mg/L	60	10/3/2025 7:56:06 AM	
