Type,Anal.,Sample Name,Sample ID,Result(TOC),Result(TC),Result(IC),Result(POC),Result(NPOC),Result(TN),Unit,Vial,Date / Time,
Unknown,TOC,Flush,Untitled,0.000,0.000,0.000,,,,mg/L,1,8/19/2025 11:55:32 AM,
Standard,IC,Untitled,Untitled,,,100.0,,,,mg/L,2, 2, 2, 2, 3,8/19/2025 12:51:37 PM,
Standard,TC,Untitled,Untitled,,100.0,,,,,mg/L,3, 3, 3, 4, 4,8/19/2025 1:43:18 PM,
Unknown,TOC,Flush 2,Untitled,-0.09089,0.07568,0.1666,,,,mg/L,1,8/19/2025 1:59:34 PM,
Unknown,TOC,081925_1,081925_1,62.83,150.0,87.15,,,,mg/L,5,8/19/2025 2:18:56 PM,
Unknown,TOC,081925_2,081925_2,35.33,98.43,63.10,,,,mg/L,6,8/19/2025 2:34:02 PM,
Unknown,TOC,081925_3,081925_3,30.48,94.56,64.08,,,,mg/L,7,8/19/2025 2:49:00 PM,
Unknown,TOC,081925_4,081925_4,18.02,46.33,28.31,,,,mg/L,8,8/19/2025 3:06:47 PM,
Unknown,TOC,081925_5,081925_5,60.35,123.2,62.86,,,,mg/L,9,8/19/2025 3:22:10 PM,
Unknown,TOC,081925_6,081925_6,28.58,86.95,58.37,,,,mg/L,10,8/19/2025 3:37:09 PM,
Unknown,TOC,081925_7,081925_7,36.01,92.88,56.87,,,,mg/L,11,8/19/2025 3:51:55 PM,
Unknown,TOC,081925_8,081925_8,24.41,80.44,56.03,,,,mg/L,12,8/19/2025 4:06:32 PM,
Unknown,TOC,081925_9,081925_9,24.64,62.76,38.12,,,,mg/L,13,8/19/2025 4:24:19 PM,
Unknown,TOC,081925_10,081925_10,38.22,134.5,96.27,,,,mg/L,14,8/19/2025 4:39:54 PM,
Unknown,TOC,081925_11,081925_11,31.24,88.99,57.75,,,,mg/L,15,8/19/2025 4:55:02 PM,
Unknown,TOC,081925_12,081925_12,23.59,79.22,55.63,,,,mg/L,16,8/19/2025 5:13:29 PM,
Unknown,TOC,081925_13,081925_13,14.24,42.29,28.05,,,,mg/L,17,8/19/2025 5:27:58 PM,
Unknown,TOC,081925_14,081925_14,45.87,126.3,80.44,,,,mg/L,18,8/19/2025 5:43:03 PM,
Unknown,TOC,081925_15,081925_15,45.75,135.6,89.88,,,,mg/L,19,8/19/2025 5:58:38 PM,
Unknown,TOC,081925_16,081925_16,1.288,17.56,16.27,,,,mg/L,20,8/19/2025 6:15:59 PM,
Unknown,TOC,081925_17,081925_17,22.76,43.42,20.66,,,,mg/L,21,8/19/2025 6:30:09 PM,
Unknown,TOC,081925_18,081925_18,54.29,119.7,65.38,,,,mg/L,22,8/19/2025 6:45:15 PM,
Unknown,TOC,081925_19,081925_19,36.04,98.57,62.53,,,,mg/L,23,8/19/2025 7:00:21 PM,
Unknown,TOC,081925_20,081925_20,41.43,120.5,79.02,,,,mg/L,24,8/19/2025 7:19:06 PM,
Unknown,TOC,081925_21,081925_21,17.08,46.51,29.44,,,,mg/L,25,8/19/2025 7:33:38 PM,
Unknown,TOC,081925_22,081925_22,60.82,118.7,57.88,,,,mg/L,26,8/19/2025 7:48:46 PM,
Unknown,TOC,081925_23,081925_23,21.08,70.27,49.19,,,,mg/L,27,8/19/2025 8:06:40 PM,
Unknown,TOC,081925_24,081925_24,31.26,79.58,48.32,,,,mg/L,28,8/19/2025 8:25:11 PM,
Unknown,TOC,081925_25,081925_25,22.25,72.80,50.55,,,,mg/L,29,8/19/2025 8:42:57 PM,
Unknown,TOC,081925_26,081925_26,22.41,56.12,33.71,,,,mg/L,30,8/19/2025 8:57:29 PM,
Unknown,TOC,081925_27,081925_27,26.18,81.09,54.91,,,,mg/L,31,8/19/2025 9:12:17 PM,
Unknown,TOC,081925_28,081925_28,35.17,95.15,59.98,,,,mg/L,32,8/19/2025 9:27:08 PM,
Unknown,TOC,081925_29,081925_29,26.97,82.62,55.65,,,,mg/L,33,8/19/2025 9:45:06 PM,
Unknown,TOC,081925_30,081925_30,12.45,28.61,16.16,,,,mg/L,34,8/19/2025 9:59:10 PM,
Unknown,TOC,081925_31,081925_31,38.86,91.65,52.78,,,,mg/L,35,8/19/2025 10:14:13 PM,
Unknown,TOC,081925_32,081925_32,48.09,128.5,80.46,,,,mg/L,36,8/19/2025 10:29:11 PM,
Unknown,TOC,081925_33,081925_33,2.441,21.37,18.93,,,,mg/L,37,8/19/2025 10:43:08 PM,
Unknown,TOC,081925_34,081925_34,13.45,28.65,15.21,,,,mg/L,38,8/19/2025 11:00:26 PM,
Unknown,TOC,081925_35,081925_35,48.25,104.7,56.40,,,,mg/L,39,8/19/2025 11:18:49 PM,
Unknown,TOC,081925_36,081925_36,33.53,86.17,52.64,,,,mg/L,40,8/19/2025 11:33:38 PM,
Unknown,TOC,081925_37,081925_37,44.19,117.4,73.17,,,,mg/L,41,8/19/2025 11:51:57 PM,
Unknown,TOC,081925_38,081925_38,17.75,49.00,31.25,,,,mg/L,42,8/20/2025 12:06:23 AM,
